Sex,Age,2008Q3,2009Q3,2010Q3,2011Q3,2012Q3,2013Q3,2014Q3,2015Q3,2016Q3,2017Q3,2018Q3,2019Q3
Men,77 years,13744,13985,13901,14937,15345,15936,16798,17649,18030,19090,19225,21137
Men,78 years,12917,12956,13215,13180,14157,14528,15183,16066,16870,17207,18283,18433
Men,79 years,12395,12093,12123,12420,12401,13395,13803,14426,15269,16148,16419,17495
Men,80 years,11005,11548,11301,11380,11600,11640,12639,12997,13636,14462,15265,15530
Men,81 years,10310,10153,10703,10465,10634,10804,10876,11873,12156,12798,13600,14377
Men,82 years,9375,9460,9290,9831,9638,9732,10052,10132,11034,11289,11894,12752
Men,83 years,8402,8460,8604,8494,9036,8782,8935,9211,9326,10184,10413,11007
Men,84 years,7238,7520,7605,7768,7664,8164,7981,8116,8405,8517,9252,9502
Men,85 years,6258,6404,6707,6801,6938,6828,7367,7235,7293,7581,7687,8375
Men,86 years,5552,5481,5591,5882,6048,6072,6063,6560,6426,6514,6763,6910
Men,87 years,4847,4774,4717,4843,5110,5270,5320,5286,5754,5613,5656,5957
Men,88 years,4077,4108,4025,4008,4129,4367,4602,4573,4562,4943,4782,4874
Men,89 years,2854,3378,3418,3377,3392,3424,3684,3860,3857,3853,4159,4040
Men,90 years,2318,2291,2792,2836,2787,2809,2858,3024,3241,3192,3176,3423
Men,91 years,1833,1774,1838,2238,2269,2204,2320,2314,2469,2572,2596,2574
Men,92 years,1399,1401,1369,1417,1753,1782,1804,1813,1805,1959,2031,2048
Men,93 years,1067,1047,1087,1040,1101,1347,1342,1316,1419,1373,1460,1600
Men,94 years,734,779,763,806,788,811,1051,1038,990,1053,994,1087
Men,95 years,545,525,571,559,579,567,648,751,756,706,756,726
Men,96 years,372,386,385,403,400,401,399,453,545,547,490,532
Men,97 years,259,239,270,246,277,250,258,272,312,360,357,334
Men,98 years,159,174,171,176,163,179,172,171,167,219,235,226
Men,99 years,88,106,110,111,113,101,112,112,110,104,137,149
Men,100 years,43,60,58,71,75,64,65,64,66,69,65,79
Men,101 years,30,31,37,27,41,46,42,40,35,39,40,41
Men,102 years,13,16,21,23,15,24,28,29,24,16,17,20
Men,103 years,12,7,9,11,12,4,14,16,17,12,8,8
Men,104 years,3,7,4,4,6,10,2,8,7,12,7,4
Men,105 years,1,2,3,2,1,4,5,1,2,2,7,5
Women,0 years,31797,31323,30961,30177,28513,28072,27285,27854,29443,30142,30427,29448
Women,1 year,31568,32065,31619,31108,30355,28710,28279,27617,28199,29689,30349,30526
Women,2 years,31865,31722,32174,31711,31232,30445,28852,28517,27916,28404,29792,30397
Women,3 years,31986,32024,31813,32277,31780,31311,30575,29111,28865,28171,28503,29816
Women,4 years,32121,32053,32144,31873,32325,31893,31465,30812,29375,29015,28225,28550
Women,5 years,31379,32180,32102,32193,31915,32405,31988,31695,31110,29536,29130,28257
Women,6 years,31881,31450,32203,32138,32230,31956,32509,32198,32011,31240,29649,29184
Women,7 years,32659,31916,31490,32210,32173,32255,32065,32738,32502,32167,31324,29711
Women,8 years,32819,32687,31962,31533,32248,32225,32362,32236,32998,32671,32240,31364
Women,9 years,33192,32863,32736,32027,31535,32296,32327,32523,32499,33159,32792,32306
Women,10 years,32764,33279,32937,32753,32061,31586,32394,32539,32765,32624,33248,32888
Women,11 years,34020,32826,33321,33022,32824,32099,31692,32559,32715,32923,32737,33332
Women,12 years,33926,34073,32885,33365,33051,32910,32165,31842,32784,32795,33026,32797
Women,13 years,35361,33993,34102,32956,33426,33110,33030,32311,31988,32939,32907,33096
Women,14 years,34387,35462,34052,34162,32992,33520,33217,33180,32490,32078,33031,32961
Women,15 years,34366,34473,35532,34116,34237,33092,33641,33387,33355,32636,32226,33181
Women,16 years,33450,34554,34615,35736,34313,34426,33331,33909,33651,33590,32886,32477
Women,17 years,33123,33653,34700,34775,35902,34432,34608,33551,34169,33879,33796,33060
Women,18 years,32339,33231,33716,34753,34837,35964,34573,34778,33833,34338,34123,33875
Women,19 years,31476,32683,33520,34068,35116,35235,36425,35057,35404,34420,34888,34535
Women,20 years,30355,32189,33291,34244,34732,35846,35979,37346,36064,36251,35174,35563
Women,21 years,30454,31317,32862,34093,35078,35686,36735,37297,38200,37061,37237,36041
